time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-21T08:21:10.303Z,-21.9146,-68.5175,107.647,5.2,mb,79,32,1.079,1.73,us,us6000n003,2024-05-21T08:40:09.040Z,"73 km NE of Calama, Chile",earthquake,3.97,4.825,0.024,590,reviewed,us,us
2024-05-21T06:46:46.548Z,45.2581,148.2966,135.971,4.4,mb,90,171,4.209,0.63,us,us6000mzzt,2024-05-21T08:19:51.040Z,"33 km E of Kuril’sk, Russia",earthquake,11,9.282,0.048,129,reviewed,us,us
2024-05-21T06:39:59.930Z,18.03083333,-66.76833333,13.29,2.58,md,18,122,0.02456,0.15,pr,pr71449713,2024-05-21T06:49:09.710Z,"1 km N of Magas Arriba, Puerto Rico",earthquake,0.28,0.34,0.148226625,10,reviewed,pr,pr
2024-05-21T06:09:33.043Z,39.3594,143.2707,34.772,4.1,mb,26,151,2.215,0.59,us,us6000mzzn,2024-05-21T07:04:41.040Z,"114 km E of Yamada, Japan",earthquake,8.5,7.111,0.145,13,reviewed,us,us
2024-05-21T05:38:52.775Z,73.9587,-69.7481,10,4.5,mb,87,52,2.684,0.85,us,us6000mzzj,2024-05-21T06:23:59.040Z,"297 km ENE of Pond Inlet, Canada",earthquake,6.58,1.883,0.038,198,reviewed,us,us
2024-05-21T05:09:51.885Z,43.5919,-128.3321,10,3.1,ml,35,276,3.112,0.32,us,us6000mzzc,2024-05-21T12:59:35.485Z,off the coast of Oregon,earthquake,6.09,2.024,0.048,56,reviewed,us,us
2024-05-21T04:46:48.900Z,19.1653,-64.8543,6,3.66,md,8,276,0.7864,0.55,pr,pr2024142000,2024-05-21T05:37:30.040Z,"91 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,10.6,8.95,0.06,4,reviewed,pr,pr
2024-05-21T04:44:13.890Z,19.2405,-64.664,55,3.54,md,8,289,0.8267,0.29,pr,pr2024142001,2024-05-21T05:28:50.310Z,"101 km N of Cruz Bay, U.S. Virgin Islands",earthquake,4.33,9.65,0.14,5,reviewed,pr,pr
2024-05-21T04:28:31.495Z,18.9427,121.1106,35,4.7,mb,37,106,3.856,0.71,us,us6000mzz6,2024-05-21T05:06:27.040Z,"37 km N of Namuac, Philippines",earthquake,8.31,1.879,0.074,55,reviewed,us,us
2024-05-21T04:26:45.414Z,37.2314,71.5114,128.419,4.1,mb,25,90,2.254,0.61,us,us6000mzz4,2024-05-21T05:32:48.040Z,"28 km S of Khorugh, Tajikistan",earthquake,3.91,11.375,0.197,7,reviewed,us,us
2024-05-21T03:35:58.487Z,-6.2946,147.3122,49.291,5.7,mwb,119,15,3.094,0.82,us,us6000mzyf,2024-05-22T03:40:37.378Z,"58 km NE of Lae, Papua New Guinea",earthquake,8.76,3.688,0.047,44,reviewed,us,us
2024-05-21T02:43:11.691Z,-3.6951,-79.6353,91.148,5.2,mb,110,44,2.317,0.72,us,us6000mzyb,2024-05-21T17:43:57.888Z,"2 km W of Zaruma, Ecuador",earthquake,7.87,4.518,0.021,723,reviewed,us,us
2024-05-21T02:30:45.342Z,58.6726,-145.5781,31.737,4.5,mb,66,136,0.855,0.75,us,us6000mzy9,2024-05-21T03:42:09.040Z,"207 km SE of Chenega, Alaska",earthquake,5.01,4.161,0.097,31,reviewed,us,us
2024-05-21T02:15:56.689Z,-32.6023,-70.03,120.918,4.5,mb,30,87,0.765,0.73,us,us6000mzy6,2024-05-21T02:44:56.040Z,"59 km ENE of Los Andes, Chile",earthquake,3.02,6.856,0.22,6,reviewed,us,us
